avd,cell_id,n,sum_rv,area_m2,unit_price_per_m2,unit_price_per_km2
2008,910,152,3495100,1000000,3.4951,3495100
2008,911,73,526050,1000000,0.52605,526050
2008,912,174,3162450,1000000,3.16245,3162450
2008,913,5,22450,1000000,0.02245,22450
2008,914,66,474375,1000000,0.474375,474375
2008,915,34,232400,1000000,0.2324,232400
2008,916,1,7600,1000000,0.0076,7600
2008,917,81,1011625,1000000,1.011625,1011625
2008,918,90,1048000,1000000.0000000298,1.0479999999999687,1047999.9999999688
2008,919,7,62200,999999.9999999106,0.06220000000000556,62200.00000000556
2008,920,9,710750,1000000,0.71075,710750
2008,921,83,1107250,1000000,1.10725,1107250
2008,922,36,506000,1000000,0.506,506000
2008,923,8,90000,1000000,0.09,90000
2008,924,27,284150,1000000,0.28415,284150
2008,925,13,67800,1000000,0.0678,67800
2008,926,35,1034075,1000000,1.034075,1034075
2008,928,98,2521750,1000000,2.52175,2521750
2008,929,37,236250,1000000,0.23625,236250
2008,930,14,112700,1000000,0.1127,112700
2008,951,68,2000500,1000000,2.0005,2000500
2008,952,4,20800,1000000,0.0208,20800
2008,953,40,379500,1000000,0.3795,379500
2008,954,15,1953850,1000000,1.95385,1953850
2008,955,5,66550,1000000,0.06655,66550
2008,956,35,273600,1000000,0.2736,273600
2008,957,6,131250,916472.5961408615,0.1432121380963004,143212.1380963004
2008,958,23,218600,1000000,0.2186,218600
2008,959,1,6500,1000000,0.0065,6500
2008,962,8,82700,1000000,0.0827,82700
2008,963,7,2401300,1000000,2.4013,2401300
2008,965,6,79200,999999.9999999404,0.07920000000000472,79200.00000000471
2008,966,57,816850,1000000,0.81685,816850
2008,967,73,848150,1000000,0.84815,848150
2008,968,7,84750,1000000,0.08475,84750
2008,969,176,2715000,1000000,2.715,2715000
2008,971,186,4669300,1000000,4.6693,4669300
2008,972,10,67700,1000000,0.0677,67700
2008,973,148,1947325,1000000,1.947325,1947325
2008,974,29,428650,1000000,0.42865,428650
